,ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
12706,2052-10-15,32,91416,552,0,1,8,26242,36,1,2,2,173,0.3448711264109065,1,1,0.1436868365527449,0,0,0,24,16,5198,1183,147366,21139,7618.0,0.8294870490971977,2,126227,0.2352419999999999,0.2481412937647815,1040.7993735125042,0.159333076071476,1,36.0
12755,2052-12-03,35,15000,541,1,3,11,35688,60,1,0,3,196,0.212282133543827,5,1,0.4052475758716539,0,4,1,24,25,10796,355,59938,12847,1250.0,0.7638216690350778,5,47091,0.270188,0.2620699848679768,1072.8932584585425,1.0151146067668335,0,67.0
10053,2045-07-11,26,16615,583,0,1,8,15690,48,1,2,0,341,0.1600787437083994,4,0,0.32739200806629,0,1,0,21,8,2702,819,82749,15796,1384.5833333333333,0.8384147381044939,4,66953,0.21919,0.2250784155768068,498.6662913373728,0.6064396928106214,0,54.0
18739,2069-04-22,40,74145,558,0,3,18,32338,72,1,1,2,804,0.1149117798058482,1,2,0.3799346262249474,0,0,0,18,11,2375,1594,31677,61708,6178.75,0.8485756818713223,4,7673,0.2683379999999999,0.278150362438361,927.7737360440964,0.280278978117596,0,53.0
13997,2056-04-28,35,48930,564,0,4,14,22945,72,0,2,1,418,0.0711332140931751,2,2,0.3390033121046811,0,3,0,24,23,5979,423,126843,5375,4077.5,0.786974764018972,3,121468,0.255945,0.2990974188680018,688.946625970727,0.2714767936163647,0,50.0
15076,2059-04-12,19,170787,604,0,4,0,11486,60,0,1,1,371,0.2900695783183512,1,0,0.5200881216678162,0,3,0,20,22,2623,1431,23470,35682,14232.25,0.8692739979005621,5,10775,0.214486,0.2031267467470148,306.3104937867879,0.0475898395395519,1,42.400000000000006
10171,2045-11-06,50,17413,584,0,3,26,35158,84,2,0,0,630,0.2936255672818265,2,0,0.4948313581716801,0,1,0,28,7,2004,5742,13279,10557,1451.0833333333333,0.7011805930488068,5,2722,0.268158,0.2719983605891647,939.9450519674086,1.0819124001383396,0,59.0
16760,2063-11-21,32,28441,637,0,4,5,24656,60,1,2,2,827,0.2238064722475232,1,1,0.38938523578682,0,2,0,20,28,2838,306,45283,48935,2370.083333333333,0.8603823000360765,5,9457,0.211156,0.2377429788112227,706.0765624085625,0.6468450036532734,0,53.0
19611,2071-09-11,42,15000,607,0,0,20,10293,72,1,5,2,403,0.6879391459676599,3,0,0.0749397526373285,0,3,0,26,20,8390,2157,39591,27496,1250.0,0.80770753011966,6,12095,0.221793,0.2121225303698652,253.8323306653742,0.5254658645322994,0,51.0
7553,2038-09-06,26,56150,622,0,0,1,9972,36,0,0,0,457,0.3249728478066265,2,0,0.0474229396254864,0,1,0,22,19,5513,2629,270476,14537,4679.166666666667,0.92703235139618,3,255939,0.183972,0.1959237695119433,368.5273704870783,0.1764261521967041,1,32.800000000000004
17167,2065-01-01,25,38546,593,1,4,1,45097,48,1,1,1,329,0.4131909087323812,6,0,0.2910639909628266,0,4,0,28,10,1623,2126,204819,39653,3212.1666666666665,0.979005107758424,5,165166,0.243597,0.2664305810475201,1536.9100552963585,0.5808883065313211,0,53.0
6216,2035-01-08,40,72059,647,0,1,18,12087,60,1,0,3,593,0.4886265593926497,3,0,0.1198467993694756,0,0,0,24,12,2164,512,62237,28020,6004.916666666667,0.9047549073840524,8,34217,0.193587,0.1771814002361318,305.0800564663656,0.1495574553851203,1,38.400000000000006
15688,2060-12-14,43,17629,588,0,3,22,10013,36,1,2,1,409,0.1311919220145425,3,1,0.083326663580021,0,3,0,34,20,4810,924,28853,68901,1469.0833333333333,0.4800808244445452,9,6918,0.201013,0.2022579344333747,373.2719341494236,0.5324898298141179,0,51.0
6893,2036-11-15,45,44002,590,0,1,19,10137,24,1,0,3,170,0.2665044576922066,2,1,0.1374414154664232,0,3,0,25,6,3865,1551,9872,2572,3666.8333333333335,0.7410137655688003,5,7300,0.190137,0.2171151279224212,524.4458203744222,0.1893857062063784,0,53.0
19255,2070-09-20,29,33630,600,0,3,9,42409,48,1,1,2,285,0.0586729143826614,3,0,0.0575904780563335,0,0,0,27,23,5294,1433,76400,1702,2802.5,0.4479619802250826,5,74698,0.237409,0.2635657506570249,1438.438049948831,0.6149645138086819,0,45.0
